WifiStandard,Anten,Bandwidth,Channel,Frequency,Rate,Power_Lower_Limit,Power_Actual,Power_Upper_Limit,FreqErr_Lower_Limit,FreqErr_Actual,FreqErr_Upper_Limit,SymClock_Actual,SymClock_Upper_Limit,EVM_Actual,EVM_Upper_Limit
802.11g,ANT 2,20,1,2412,48,,17.1 dBm,,,-23.17 kHz,,-9.98 ppm,,-23.78 dBm,
802.11g,ANT 2,20,1,2412,54,,17.07 dBm,,,-23.12 kHz,,-10.43 ppm,,-23.95 dBm,
802.11g,ANT 2,20,6,2437,6,,17.12 dBm,,,-23.39 kHz,,-10.04 ppm,,-23.61 dBm,
802.11g,ANT 2,20,6,2437,9,,17.15 dBm,,,-23.46 kHz,,-9.69 ppm,,-23.47 dBm,
802.11g,ANT 2,20,6,2437,12,,17.08 dBm,,,-23.46 kHz,,-9.5 ppm,,-23.58 dBm,
802.11g,ANT 2,20,6,2437,18,,17.09 dBm,,,-23.45 kHz,,-9.59 ppm,,-23.61 dBm,
802.11g,ANT 2,20,6,2437,24,,17.14 dBm,,,-23.46 kHz,,-9.28 ppm,,-23.61 dBm,
802.11g,ANT 2,20,6,2437,36,,17.12 dBm,,,-23.4 kHz,,-9.64 ppm,,-23.46 dBm,
802.11g,ANT 2,20,6,2437,48,,17.02 dBm,,,-23.4 kHz,,-9.45 ppm,,-24.47 dBm,
802.11g,ANT 2,20,6,2437,54,,16.95 dBm,,,-23.39 kHz,,-10.12 ppm,,-24.63 dBm,
802.11g,ANT 2,20,11,2462,6,,16.91 dBm,,,-23.69 kHz,,-9.86 ppm,,-23.47 dBm,
802.11g,ANT 2,20,11,2462,9,,16.98 dBm,,,-23.73 kHz,,-9.58 ppm,,-23.48 dBm,
802.11g,ANT 2,20,11,2462,12,,16.9 dBm,,,-23.75 kHz,,-9.63 ppm,,-23.5 dBm,
802.11g,ANT 2,20,11,2462,18,,16.94 dBm,,,-23.71 kHz,,-9.35 ppm,,-23.48 dBm,
802.11g,ANT 2,20,11,2462,24,,16.94 dBm,,,-23.69 kHz,,-9.53 ppm,,-23.49 dBm,
802.11g,ANT 2,20,11,2462,36,,16.53 dBm,,,-23.67 kHz,,-9.74 ppm,,-23.65 dBm,
802.11g,ANT 2,20,11,2462,48,,16.68 dBm,,,-23.65 kHz,,-9.92 ppm,,-24.52 dBm,
802.11g,ANT 2,20,11,2462,54,,16.82 dBm,,,-23.63 kHz,,-9.59 ppm,,-24.64 dBm,
